PLT_CN,CONDID,MOG
14548849020004,1,1
14548856020004,2,2
14548858020004,1,1
14548859020004,1,1
14548860020004,1,0
14548863020004,1,0
14548866020004,1,1
14548867020004,1,1
14548868020004,1,0
14548870020004,2,0
14548877020004,1,1
14548878020004,1,0
14548879020004,1,1
14548880020004,1,2
14548881020004,1,1
14548882020004,1,1
14548885020004,1,1
14548887020004,1,1
14548888020004,1,1
14548889020004,1,1
14548891020004,1,1
14548896020004,1,2
14548897020004,1,1
14548898020004,1,2
14548899020004,2,2
14548901020004,1,0
14548902020004,1,2
14548906020004,1,1
14548909020004,1,1
14548911020004,1,2
14548914020004,1,2
14548916020004,1,1
14548917020004,1,1
14548920020004,1,0
14548921020004,1,1
14548922020004,1,1
14548926020004,1,0
14548927020004,1,1
14548937020004,1,1
14548938020004,1,1
14548939020004,1,1
14548947020004,1,1
14548958020004,1,1
14548959020004,1,1
14549052020004,1,1
14549059020004,1,1
14549060020004,1,0
14549061020004,1,0
14549065020004,1,2
14549066020004,1,1
14549070020004,1,2
14549075020004,1,2
14549089020004,1,0
14549090020004,1,1
14549096020004,1,0
14549104020004,2,2
14549107020004,2,0
14549113020004,2,0
14549115020004,1,2
14549119020004,1,2
14549120020004,1,1
14549123020004,1,2
14549126020004,1,0
14549127020004,1,2
14549129020004,1,1
14549130020004,1,0
14549131020004,1,2
14549135020004,1,2
14549136020004,1,2
14549139020004,1,0
14549141020004,1,2
14549142020004,1,0
14549144020004,1,0
14549146020004,1,0
14549149020004,1,1
14549153020004,1,2
14549154020004,1,2
14549155020004,1,0
14549156020004,1,2
14549157020004,1,2
14549164020004,1,2
14549169020004,1,1
14549175020004,1,0
14549179020004,1,0
14549180020004,1,0
14549181020004,1,0
14549183020004,1,1
14549184020004,1,2
14549185020004,1,0
14549187020004,2,0
14549188020004,1,2
14549189020004,1,2
14549192020004,1,0
14549193020004,1,1
14549194020004,1,1
14549198020004,1,1
14549199020004,1,2
14549201020004,1,1
14549202020004,1,1
14549203020004,1,0
14549203020004,2,0
14549206020004,1,2
14549207020004,1,2
14549208020004,1,2
14549209020004,1,2
14549210020004,1,0
14549211020004,1,1
14549214020004,2,0
14549216020004,1,0
14549217020004,1,0
14549221020004,1,2
14549223020004,1,1
14549225020004,1,2
14549226020004,1,0
14549227020004,1,2
14549229020004,1,2
14549231020004,1,1
14549232020004,1,2
14549233020004,1,2
14549234020004,1,2
14549235020004,1,2
14549252020004,1,2
14549253020004,1,0
14549254020004,1,0
14549261020004,1,0
14549262020004,1,0
14549263020004,1,2
14549264020004,1,0
14549265020004,1,1
14549265020004,2,0
14549271020004,1,2
14549272020004,1,0
14549273020004,1,0
14549274020004,1,2
14549278020004,1,2
14549279020004,1,2
14549281020004,1,0
14549286020004,1,2
14549292020004,1,0
14549296020004,1,2
14549296020004,2,2
14549297020004,1,0
14549298020004,1,0
14549301020004,1,2
14549303020004,1,2
14549303020004,2,0
14549304020004,1,2
14549304020004,2,2
14549305020004,1,0
14549307020004,1,2
14549307020004,2,0
14549308020004,1,2
14549311020004,1,0
14549315020004,1,2
14549356020004,1,0
14549411020004,1,2
14549419020004,1,0
14549421020004,1,0
14549442020004,1,1
14549457020004,1,2
14549502020004,1,2
14549516020004,1,2
14549527020004,1,2
14549528020004,1,2
14549547020004,1,1
14549552020004,1,2
14549561020004,1,2
14549563020004,1,0
14549572020004,1,0
14549576020004,1,2
14549583020004,1,2
14549584020004,1,0
14549585020004,1,1
14549592020004,2,1
14549630020004,1,1
14549631020004,2,2
14549632020004,1,0
14549634020004,1,2
14549635020004,1,2
14549637020004,1,2
14549638020004,1,1
14549639020004,1,2
14549642020004,1,2
14549643020004,1,2
14549644020004,1,2
14549645020004,1,2
14549648020004,1,1
14549649020004,1,2
14549650020004,1,0
14549656020004,1,1
14549658020004,1,1
14549659020004,1,1
14549665020004,1,1
14549681020004,1,2
14549687020004,1,1
14549703020004,1,1
14549710020004,1,1
14549741020004,1,1
14549746020004,1,1
14549747020004,1,1
14549751020004,1,1
14549753020004,1,1
14549756020004,2,2
14549757020004,1,2
14549758020004,1,2
14549763020004,1,2
14549765020004,1,1
14549776020004,1,2
14549777020004,1,0
14549780020004,1,1
14549782020004,1,1
14549787020004,2,0
14549789020004,1,1
14549793020004,1,1
14549794020004,1,1
14549795020004,1,2
14549796020004,1,0
14549796020004,2,0
14549799020004,1,1
14549800020004,1,1
14549824020004,1,1
14549827020004,1,2
14549831020004,1,2
14549832020004,1,2
14549832020004,2,0
14549849020004,1,0
14549853020004,1,0
14549854020004,1,0
14549859020004,1,0
14549864020004,1,0
14549865020004,1,0
14549866020004,1,1
14549871020004,1,0
14549871020004,2,0
14549872020004,1,2
14549873020004,1,0
14549878020004,1,0
14549881020004,1,0
14549882020004,1,0
14549882020004,2,0
14549883020004,1,0
14549886020004,1,0
14549887020004,1,2
14549891020004,1,1
14549893020004,1,0
14549894020004,1,0
14549896020004,1,2
14549898020004,1,1
14549902020004,1,2
14549909020004,1,0
14549912020004,1,0
14549913020004,1,2
14549916020004,1,0
14549916020004,2,0
14549917020004,1,0
14549925020004,1,0
14549929020004,1,2
14549933020004,1,1
14549937020004,1,0
14549939020004,1,2
14549939020004,2,1
14549940020004,1,0
14549942020004,1,2
14549943020004,1,1
14549944020004,1,0
14549945020004,1,2
14549947020004,2,0
14549948020004,1,2
14549951020004,1,2
14549958020004,1,0
14549959020004,1,2
14549960020004,1,0
14549962020004,1,0
14549964020004,1,0
14549967020004,1,0
14549968020004,1,2
14549969020004,1,2
14549969020004,2,2
14549972020004,1,1
14549973020004,1,1
14549976020004,1,0
14549977020004,1,0
14549978020004,1,0
14549980020004,1,2
14549983020004,1,2
14549984020004,1,2
14549986020004,1,2
14549987020004,1,2
14549988020004,1,0
14549991020004,1,0
14549993020004,1,1
14549994020004,1,1
14549995020004,1,2
14549996020004,1,2
14549998020004,1,2
14549998020004,2,2
14549999020004,1,2
14550000020004,1,0
14550002020004,1,2
14550004020004,1,0
14550005020004,1,0
14550006020004,1,2
14550007020004,1,2
14550009020004,1,1
14550016020004,1,0
14550017020004,1,2
14550018020004,1,1
14550022020004,1,1
14550028020004,1,1
14550038020004,1,0
14550038020004,2,0
14550054020004,1,1
14550056020004,1,0
14550066020004,1,1
14550068020004,1,1
14550070020004,1,1
14550071020004,1,1
14550073020004,1,2
14550086020004,1,2
14550087020004,1,0
14550088020004,1,0
14550089020004,1,1
14550111020004,1,1
14550120020004,1,1
14550122020004,1,1
14550144020004,1,0
14550153020004,1,1
14550157020004,1,1
14550158020004,1,0
14550159020004,1,1
14550194020004,1,2
14550209020004,1,0
14550221020004,1,2
15647751010497,1,0
15647753010497,2,0
15647754010497,1,0
15649764010497,1,0
15649765010497,1,1
15649766010497,1,0
15649767010497,1,0
15649768010497,1,2
15649769010497,1,2
15649770010497,1,0
15649771010497,1,2
15649772010497,1,2
15649772010497,2,1
15649774010497,1,0
15655125010497,1,1
15655125010497,2,0
15721880020004,1,2
15721902020004,1,2
15721909020004,1,2
15721955020004,1,2
15721955020004,2,0
15721986020004,1,2
15721989020004,1,2
15721989020004,2,0
15722040020004,1,2
15722053020004,1,2
15722056020004,1,2
15722067020004,1,2
15722071020004,1,2
15722080020004,1,2
15722084020004,1,2
15722086020004,1,2
15722100020004,1,2
15722100020004,2,0
15722157020004,1,2
15722163020004,1,0
15722185020004,1,2
15722191020004,1,2
15722191020004,2,2
15722193020004,1,2
15722193020004,2,0
15722227020004,1,2
15722237020004,1,2
15722239020004,1,2
15722239020004,2,2
15722240020004,1,2
15722241020004,1,0
15722241020004,2,2
15722241020004,3,0
15722242020004,1,0
15722247020004,1,0
15722252020004,1,2
15722288020004,1,0
15722294020004,1,0
15722372020004,1,2
15722372020004,2,0
15722373020004,1,0
15722374020004,1,1
15722375020004,1,2
15722377020004,1,2
15722379020004,1,0
15722380020004,1,2
15722442020004,1,0
15722442020004,3,0
15722443020004,1,2
15722443020004,2,0
15722465020004,1,2
15722475020004,1,2
15722477020004,1,0
15722477020004,2,2
15722478020004,2,0
15722489020004,1,2
15722504020004,1,2
15722786020004,1,0
15722786020004,2,0
15722787020004,1,0
15722790020004,1,0
15722790020004,2,2
15722796020004,1,2
15722796020004,3,2
15722800020004,1,2
15722811020004,1,0
15722812020004,1,0
15722813020004,1,2
15722814020004,1,0
15722814020004,2,0
15722815020004,1,0
15722857020004,1,0
15723032020004,1,2
15723076020004,1,2
15723079020004,1,2
15723080020004,1,0
15723081020004,1,2
15723085020004,1,2
15723086020004,1,2
15723087020004,1,1
15723088020004,1,0
15723090020004,1,2
15723091020004,1,2
15723092020004,1,0
15723094020004,1,2
15723094020004,2,2
15723095020004,1,0
15723096020004,1,0
15723099020004,1,0
15723101020004,1,2
15723101020004,2,2
15723102020004,1,2
15723103020004,1,2
15723105020004,1,2
15723106020004,1,2
15723107020004,1,2
15723109020004,1,0
15723109020004,2,0
15723110020004,1,0
15723111020004,1,2
15723112020004,1,0
15723113020004,1,0
15723113020004,2,0
15723114020004,1,2
15723114020004,2,2
15723115020004,1,2
15723115020004,2,2
15723116020004,1,2
15723118020004,1,2
15723120020004,1,0
15723120020004,2,2
15723120020004,3,2
15723122020004,1,2
15723123020004,1,2
15723124020004,1,2
15723130020004,1,0
15723130020004,2,0
15723132020004,1,2
15723134020004,1,2
15723135020004,1,0
15723137020004,1,2
15723137020004,2,0
15723140020004,1,0
15723141020004,1,0
15723141020004,2,0
15723144020004,1,2
15723144020004,2,0
15723146020004,1,0
15723147020004,1,1
15723148020004,1,0
15723149020004,1,0
15723150020004,1,0
15723151020004,1,2
15723152020004,1,0
15723155020004,1,0
15723156020004,1,0
15723158020004,1,0
15723159020004,2,0
15723162020004,1,0
15723163020004,1,2
15723164020004,1,2
15723165020004,1,2
15723165020004,2,2
15723166020004,1,2
15723166020004,2,2
15723167020004,1,2
15723169020004,1,2
15723170020004,1,0
15723171020004,1,2
15723172020004,1,2
15723175020004,1,2
15723177020004,1,2
15723178020004,1,0
15723179020004,1,2
15723181020004,1,0
15723182020004,1,2
15723183020004,1,0
15723184020004,1,2
15723185020004,1,2
15723187020004,1,2
15723188020004,1,0
15723190020004,1,2
15723191020004,1,2
15723196020004,1,2
15723197020004,1,2
15723198020004,1,0
15723199020004,1,2
15723200020004,1,0
15723202020004,1,2
15723204020004,1,2
15723207020004,1,0
15723208020004,1,0
15723210020004,1,0
15723211020004,1,2
15723212020004,1,2
15723213020004,2,0
15723214020004,1,0
15723215020004,1,2
15723215020004,2,0
15723217020004,1,0
15723217020004,2,0
15723221020004,1,2
15723222020004,2,0
15723223020004,1,0
15723225020004,1,0
15723226020004,1,0
15723227020004,1,0
15723229020004,1,2
15723231020004,1,0
15723232020004,1,0
15723233020004,1,0
15723233020004,2,2
15723234020004,1,0
15723234020004,2,2
15723235020004,1,0
15723236020004,1,0
15723237020004,1,0
15723238020004,1,0
15723239020004,1,2
15723242020004,1,2
15723245020004,1,0
15723246020004,1,2
15723247020004,1,2
15723247020004,2,2
15723248020004,1,2
15723248020004,2,0
15723250020004,1,2
15723251020004,1,0
15723252020004,1,0
15723252020004,2,0
15723253020004,1,0
15723254020004,1,2
15723255020004,1,2
15723256020004,1,0
15723259020004,1,2
15723260020004,1,0
15723261020004,1,0
15723263020004,1,0
15723264020004,1,2
15723266020004,1,2
15723271020004,1,2
15723273020004,1,2
15723273020004,2,0
15723274020004,1,0
15723275020004,1,0
15723275020004,2,0
15723276020004,1,2
15723277020004,1,2
15723278020004,1,2
15723280020004,1,2
16232791020004,1,2
16232823020004,1,2
16232860020004,3,0
16232861020004,1,2
16232864020004,1,2
16232926020004,2,0
16232926020004,3,0
16233128020004,1,2
16233129020004,1,2
16233133020004,1,2
16233134020004,1,2
16233134020004,2,2
16233137020004,1,2
16233138020004,1,2
16233138020004,2,2
16233139020004,1,2
16233140020004,1,2
16233141020004,1,0
16233142020004,1,2
16233144020004,1,0
16233146020004,1,2
16233147020004,1,2
16233147020004,3,0
16233148020004,1,2
16233149020004,1,0
22930698010497,1,0
22930698010497,2,0
22930707010497,1,2
22931293010497,1,0
23973404010497,1,0
29394928010497,2,2
29395292010497,1,2
29395548010497,1,1
29878988010497,1,2
29879023010497,1,0
29879287010497,1,0
29879781010497,1,0
29880056010497,1,2
29880482010497,1,2
29880511010497,1,2
29880521010497,1,0
29880692010497,1,2
29880851010497,1,0
29882706010497,1,0
29882708010497,1,0
29883215010497,1,0
29883466010497,1,0
29883466010497,2,0
30761600020004,1,0
30761605020004,2,0
30761609020004,1,1
30761610020004,1,1
30761611020004,1,0
30761612020004,1,2
30761612020004,2,0
30761613020004,1,2
30761613020004,2,0
30761618020004,2,0
30761651020004,1,0
30761666020004,1,2
30761684020004,1,0
30761685020004,1,0
30761686020004,1,2
30761688020004,1,2
30761694020004,1,0
30761730020004,1,0
30761732020004,1,2
30761733020004,1,2
30761760020004,1,0
30761761020004,2,1
30761822020004,1,2
30761856020004,1,0
30761857020004,1,2
30761859020004,1,0
30761861020004,1,0
30761871020004,1,0
30761875020004,1,1
30761876020004,1,2
30761877020004,1,2
30761878020004,1,0
30761910020004,1,0
30761912020004,1,2
30761912020004,2,0
30761917020004,1,0
30761918020004,1,2
30761919020004,1,2
30761920020004,1,0
30761921020004,1,2
30761923020004,1,2
30761925020004,1,0
30761926020004,1,0
30761927020004,1,2
30761928020004,2,0
30761929020004,1,1
30761943020004,1,2
30761946020004,1,2
30761949020004,1,1
30761951020004,1,2
30761972020004,1,2
30761979020004,1,0
30761980020004,1,2
30761981020004,1,2
30761982020004,1,2
30761983020004,1,0
30761984020004,1,0
30761984020004,2,0
30761986020004,1,1
30761992020004,1,1
30761993020004,2,2
30761994020004,1,2
30761995020004,1,2
30761996020004,1,2
30761997020004,1,1
30761998020004,1,0
30761999020004,1,2
30762000020004,1,2
30762001020004,1,0
30762002020004,1,1
30762002020004,2,0
30762003020004,1,0
30762015020004,1,0
30762016020004,1,2
30762019020004,2,0
30762129020004,1,0
30762155020004,1,0
30762177020004,1,0
30762177020004,2,0
30762184020004,1,2
30762185020004,1,0
30762192020004,1,0
30762198020004,1,2
30762210020004,1,0
30762212020004,1,2
30762213020004,1,2
30762213020004,2,2
30762215020004,1,0
30762215020004,2,2
30762218020004,1,0
30762222020004,1,0
30762237020004,1,0
30762238020004,2,0
30762242020004,1,0
30762252020004,1,2
30762253020004,1,2
30762254020004,2,0
30762261020004,1,1
30762261020004,3,0
30762262020004,1,2
30762262020004,2,1
30762263020004,1,2
30762266020004,1,0
30762267020004,1,0
30762268020004,1,2
30762269020004,1,0
30762270020004,1,1
30762274020004,1,2
30762275020004,1,0
30762290020004,1,2
30762299020004,1,2
30762303020004,1,2
30762310020004,1,0
30762312020004,1,0
30762319020004,2,0
30762330020004,1,2
30762331020004,1,2
30762332020004,1,2
30762334020004,1,0
30762335020004,1,2
30762336020004,1,0
30762337020004,1,1
30762339020004,1,0
30762346020004,1,0
30762350020004,1,2
30762351020004,1,1
30762352020004,1,1
30762353020004,1,1
30762354020004,1,2
30762361020004,1,0
30762361020004,2,0
30762362020004,1,0
30762365020004,1,0
30762367020004,1,0
30762369020004,1,2
30762370020004,1,0
30762371020004,1,0
30762374020004,1,2
30762375020004,1,1
30762380020004,1,2
30762383020004,1,0
30762385020004,1,2
30762386020004,1,1
30762389020004,1,2
30762394020004,1,2
30762421020004,1,2
30762435020004,1,0
30762436020004,1,0
30762436020004,2,2
30762437020004,2,2
30762441020004,1,0
30762442020004,1,2
30762443020004,1,2
30762444020004,1,1
