CN,HABTYPCD,PUB_CD,SCIENTIFIC_NAME,COMMON_NAME,VALID,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
1.97237E+14,CPH215,653,PIPO-QUGA/SYAL,ponderosa pine-Oregon white oak /common snowberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPH212,653,PIPO-QUGA/PUTR,ponderosa pine-Oregon white oak/bitterbrush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS541,653,PIPO/SPDO,ponderosa pine/Douglas spiraea,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPH312,653,PIPO-POTR,ponderosa pine-aspen,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS641,653,PIPO/ARUV,ponderosa pine/kinnikinnick,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS542,653,PIPO/SYMO,ponderosa pine/creeping snowberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPF141,653,PIPO/CHUM,ponderosa pine/prince's pine,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CPS524,653,PIPO/SYAL,ponderosa pine/common snowberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS341,653,PIPO/CEPR,ponderosa pine/mahala mat,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPF111,653,PIPO/WYMO,ponderosa pine/woolly wyethia,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS325,653,PIPO/CELE,ponderosa pine/curl-leaf mountain mahogany,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPG211,653,PIPO/CAIN4,Ponderosa pine/long-stolon sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS219,653,PIPO/ARPA,ponderosa pine/greenleaf manzanita,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS211,653,PIPO/PUTR/FEID,ponderosa pine/bitterbrush/Idaho fescue,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS210,653,PIPO/PUTR,ponderosa pine/bitterbrush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPS141,653,PIPO/ARTR,ponderosa pine/big sagebrush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPG135,653,PIPO/FEID,ponderosa pine/Idaho fescue,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPG125,653,PIPO/STOC,ponderosa pine/western needlegrass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLC113,653,PIAL-PICO/ARNE,whitebark pine-lodgepole pine/pinemat manzanita,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLC114,653,PIAL-PICO/CAIN4,whitebark pine-lodgepole pine/long-stolon sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLM912,653,PICO/ELPA2,lodgepole pine/few-flowered spikerush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLM113,653,PICO/CAEU,lodgepole pine/widefruit sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLM312,653,PICO/VAOC2/CAEU,lodgepole pine/bog blueberry/widefruit sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLM314,653,PICO/SPDO/CAEU,lodgepole pine/Douglas spiraea/widefruit sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLM311,653,PICO/VAOC2,lodgepole pine/bog blueberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLM313,653,PICO/SPDO,lodgepole pine/Douglas spiraea,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLM211,653,PICO/ARUV,lodgepole pine/bearberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLS311,653,PICO/ARNE,lodgepole pine/pinemat manzanita,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLG419,653,PICO/CAIN4,lodgepole pine/long-stolon sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLS214,653,PICO/PUTR/FEID,lodgepole pine/bitterbrush/Idaho fescue,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLS211,653,PICO/PUTR/STOC,lodgepole pine/bitterbrush/western needlegrass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLG316,653,PICO/FEID,lodgepole pine /Idaho fescue,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CLG317,653,PICO/STOC,lodgepole pine/western needlegrass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CAF312,647,TSME-ABLA/EULE14,Mountain hemlock-subalpine fir/Cascades aster,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CAG313,647,TSME-PIAL/LUGLH,Mountain hemlock-whitebark pine/smooth woodrush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CAG314,647,TSME/LUGLH,Mountain hemlock/smooth woodrush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CAS212,647,TSME/PHEM-VADE-NWO,Mountain hemlock/red mountain heather-blueleaf huckleberry-NWO,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CAS412,647,TSME-ABLA/JUCO6,Mountain hemlock-subalpine fir/juniper,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDC124,647,PSME/TODI,Douglas-fir/poison oak,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDC711,647,PSME/MANE2,Douglas-fir/dwarf Oregon grape,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDC715,647,PSME-TSHE/RHMA3,Douglas-fir-western hemlock/rhododendron,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS212,647,PSME/HODI/Grass,Douglas-fir/oceanspray/grass,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS213,647,PSME/HODI-WHMO,Douglas-fir/oceanspray-whipple vine,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS216,647,PSME/HODI-MANE2,Douglas-fir/oceanspray-dwarf Oregon grape,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS217,647,PSME/HODI-SYMPH,Douglas-fir/oceanspray-snowberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS312,647,PSME/COCO6-SYMO/POMU,Douglas-fir/California hazel-snowberry/sword fern,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS512,647,PSME/MANE2-GASH,Douglas-fir/dwarf Oregon grape-salal,Y,RWANEK,5/6/2013 9:20,20004,,,
