EMAP_HEX,EPA2_code,NA_L2NAME
8483,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8484,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8485,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8486,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8487,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8488,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8489,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8490,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8491,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8492,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8493,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8494,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8495,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8496,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8497,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8498,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8499,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8500,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8501,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8502,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8503,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8504,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8505,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8506,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8507,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8508,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8509,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8510,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8511,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8512,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8603,5.2,MIXED WOOD SHIELD
8604,5.2,MIXED WOOD SHIELD
8605,5.2,MIXED WOOD SHIELD
8606,5.2,MIXED WOOD SHIELD
8607,5.2,MIXED WOOD SHIELD
8608,5.2,MIXED WOOD SHIELD
8609,8.1,MIXED WOOD PLAINS
8610,8.1,MIXED WOOD PLAINS
8611,8.2,CENTRAL USA PLAINS
8612,8.2,CENTRAL USA PLAINS
8613,8.2,CENTRAL USA PLAINS
8614,8.2,CENTRAL USA PLAINS
8615,8.2,CENTRAL USA PLAINS
8616,8.2,CENTRAL USA PLAINS
8617,8.2,CENTRAL USA PLAINS
8618,8.2,CENTRAL USA PLAINS
8619,8.2,CENTRAL USA PLAINS
8620,8.2,CENTRAL USA PLAINS
8621,8.2,CENTRAL USA PLAINS
8622,8.2,CENTRAL USA PLAINS
8623,8.2,CENTRAL USA PLAINS
8624,8.2,CENTRAL USA PLAINS
8625,8.2,CENTRAL USA PLAINS
8626,8.3,SOUTHEASTERN USA PLAINS
8627,8.3,SOUTHEASTERN USA PLAINS
8628,8.3,SOUTHEASTERN USA PLAINS
8629,8.3,SOUTHEASTERN USA PLAINS
8630,8.2,CENTRAL USA PLAINS
8631,8.2,CENTRAL USA PLAINS
8632,8.2,CENTRAL USA PLAINS
8633,8.3,SOUTHEASTERN USA PLAINS
8634,8.3,SOUTHEASTERN USA PLAINS
8635,8.3,SOUTHEASTERN USA PLAINS
8636,8.3,SOUTHEASTERN USA PLAINS
8637,8.3,SOUTHEASTERN USA PLAINS
8638,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8639,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8640,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8641,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8642,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8643,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8644,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8645,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8646,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8647,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8648,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8649,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8650,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8651,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8652,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8653,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8654,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8655,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8656,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8657,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8658,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8659,8.3,SOUTHEASTERN USA PLAINS
8660,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8661,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8662,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8663,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8664,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8665,8.3,SOUTHEASTERN USA PLAINS
8666,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8667,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8668,8.3,SOUTHEASTERN USA PLAINS
8669,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8670,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8671,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8672,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8673,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8674,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8767,5.2,MIXED WOOD SHIELD
8768,5.2,MIXED WOOD SHIELD
8769,5.2,MIXED WOOD SHIELD
8770,5.2,MIXED WOOD SHIELD
8771,5.2,MIXED WOOD SHIELD
8772,5.2,MIXED WOOD SHIELD
8773,8.1,MIXED WOOD PLAINS
8774,8.1,MIXED WOOD PLAINS
8775,8.2,CENTRAL USA PLAINS
8776,8.2,CENTRAL USA PLAINS
8777,8.2,CENTRAL USA PLAINS
8778,8.2,CENTRAL USA PLAINS
8779,8.2,CENTRAL USA PLAINS
8780,8.2,CENTRAL USA PLAINS
8781,8.2,CENTRAL USA PLAINS
8782,8.2,CENTRAL USA PLAINS
8783,8.2,CENTRAL USA PLAINS
8784,8.2,CENTRAL USA PLAINS
8785,8.2,CENTRAL USA PLAINS
8786,8.2,CENTRAL USA PLAINS
8787,8.2,CENTRAL USA PLAINS
8788,8.2,CENTRAL USA PLAINS
8789,8.3,SOUTHEASTERN USA PLAINS
8790,8.3,SOUTHEASTERN USA PLAINS
8791,8.3,SOUTHEASTERN USA PLAINS
8792,8.3,SOUTHEASTERN USA PLAINS
8793,8.3,SOUTHEASTERN USA PLAINS
8794,8.3,SOUTHEASTERN USA PLAINS
8795,8.3,SOUTHEASTERN USA PLAINS
8796,8.3,SOUTHEASTERN USA PLAINS
8797,8.3,SOUTHEASTERN USA PLAINS
8798,8.3,SOUTHEASTERN USA PLAINS
8799,8.3,SOUTHEASTERN USA PLAINS
8800,8.3,SOUTHEASTERN USA PLAINS
8801,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8802,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8803,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8804,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8805,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8806,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
